Station,Depth,T°  in situ CTD,T°  in situ CTD,T°  in situ CTD,T°  in situ CTD,CTD-Salinity,CTD-Salinity,CTD-Salinity,CTD-Salinity,Dissolved_O2,AOU,,DIC,Alkalinity_TA,TA35,PA,,PO4,Si(OH)4,NO3,NO2,,PIC,PIC,, DIC, DIC,d13CDIC,,pHT,pCO2,HCO3,CO3,CO2(gas),Revelle,Wcalcite,Waragonite,, DOC, DOC,d13CDOC,Chl
T3,2,20.931,20.924,0.005,20.93,34.821,34.824,0.002,34.822,6.406,,,2025.7,2326.1,2337.98,2338.98,,0.997,1.202,0.659,0,,,,,21.87,1822.34,1.44,,8.1,348.73,1804.8,209.91,10.99,9.69,5.03,3.28,,1.225,102.044,-21.52,2.551594694
T3,10,18.735,18.71,0.017,18.72,34.83,34.841,0.008,34.835,5.561,,,2056.8,2320.8,2331.76,2332.69,,0.924,1.995,0.363,0,,,,,21.74,1811.27,1.12,,8.07,379.33,1858.36,185.74,12.71,10.41,4.44,2.87,,1.206,100.469,-21.88,3.168641666
T3,25,14.548,14.59,0.03,14.57,34.789,34.792,0.002,34.79,0.738,,,2186.3,2298.8,2312.65,2315.01,,2.337,6.852,19.351,0.368,,,,,23.16,1929.82,-0.5,,7.79,776.14,2064.06,92.85,29.38,15.24,2.21,1.42,,1.03,85.838,-24.06,3.853795532
T3,50,13.494,13.494,0,13.49,34.819,34.822,0.002,34.82,0.008,,,2157.9,2297.9,2309.75,2312.63,,2.865,19.123,18.773,0.009,,,,,23.51,1959.22,-0.64,,7.88,619.31,2026.84,106.83,24.23,14.2,2.53,1.62,,0.868,72.372,-24.09,0.212453402
T3,100,12.849,12.852,0.002,12.85,34.871,34.874,0.002,34.872,0.008,,,2209.8,2297.6,2306.02,2308.81,,2.78,24.733,12.13,5.15,,,,,22.29,1857.87,-0.75,,7.74,869.19,2096.11,79,34.69,16.31,1.85,1.18,,0.875,72.892,-24.28,0.197413439
T3,250,11.334,11.334,0,11.33,34.791,34.794,0.002,34.792,0.009,,,2103.2,2296.6,2310.31,2313.14,,2.811,25.764,16.756,6.995,,,,,21.04,1753.2,-0.6,,8.03,404.19,1950.06,136.2,16.94,12.35,3.11,1.98,,2.082,173.485,-26.25,0.131126195
T3,500,8.48,8.478,0.001,8.48,34.603,34.605,0.002,34.604,0.137,,,2198.4,2298.8,2325.1,2328.29,,3.161,33.032,38.259,0,,,,,20.94,1744.82,-0.43,,7.83,657.12,2085.37,82.75,30.29,16.12,1.8,1.15,,1.525,127.096,-25.78,0.068181165
T3,750,5.844,5.843,0,5.84,34.482,34.484,0.002,34.483,1.055,,,2186.1,2304.3,2338.85,2342.01,,3.121,44.481,38.165,0,,,,,23.99,1999.05,0.06,,7.91,515.08,2069.51,90.57,26.03,15.5,1.87,1.19,,1.17,97.468,-24.94,0
T5,2,24.557,24.549,0.006,24.55,35.277,35.285,0.005,35.281,4.707,,,2102.5,2355.3,2336.54,2337.5,,0.968,1.525,0.261,0,,,,,22.12,1843.6,1.4,,7.95,529.11,1905.41,181.97,15.12,10.63,4.37,2.88,,1.774,147.861,-24.27,0.133298634
T5,10,24.289,24.293,0.003,24.29,35.258,35.262,0.003,35.26,4.703,,,2095.6,2347.1,2329.8,2330.74,,0.952,0.244,0.003,0.001,,,,,22.07,1839.04,1.35,,7.95,523.13,1899.74,180.81,15.05,10.64,4.33,2.85,,1.663,138.556,-24.06,0.182874808
T5,25,18.112,18.148,0.026,18.13,34.931,34.934,0.002,34.933,5.716,,,2127.9,2307.9,2312.36,2313.6,,1.244,0.138,6.197,0.298,,,,,22.92,1909.94,0.73,,7.91,581.99,1974.72,133.36,19.82,12.61,3.17,2.05,,1.523,126.939,-23.74,1.920826077
T5,30,15.426,14.412,0.717,14.92,34.811,34.815,0.003,34.813,2.141,,,2167,2292.1,2304.43,2306.41,,1.974,1.211,15.625,0.55,,,,,20.13,1677.32,-0.16,,7.82,716.88,2040.32,99.83,26.85,14.69,2.37,1.52,,1.096,91.36,-23.19,3.124023109
T5,50,13.81,13.823,0.009,13.82,34.792,34.796,0.003,34.794,0.053,,,2178.5,2281.3,2294.8,2297.57,,2.757,14.778,24.891,0.065,,,,,22.28,1856.69,-0.37,,7.77,800.32,2060.81,86.69,31.01,15.63,2.05,1.31,,2.554,212.802,-26.33,0.611792269
T5,100,12.959,12.959,0,12.96,34.858,34.861,0.002,34.859,0.011,,,2198.2,2303,2312.3,2315.15,,2.847,25.147,12.079,5.457,,,,,23.13,1927.42,-0.33,,7.79,774.38,2079.69,87.7,30.8,15.65,2.05,1.32,,1.021,85.054,-23.63,0.17619038
T5,250,11.15,11.149,0.001,11.15,34.77,34.774,0.003,34.772,0.014,,,2170.9,2296.4,2311.47,2314.4,,2.916,27.609,20.904,5.994,,,,,23.29,1940.6,-0.14,,7.87,617.26,2047.44,97.43,26.02,14.89,2.22,1.42,,1.56,129.998,-25.01,0.061998069
T5,500,7.826,7.825,0,7.83,34.561,34.565,0.002,34.563,0.302,,,2186.3,2288.3,2317.23,2320.21,,2.943,32.538,39.681,0.001,,,,,24.16,2013.42,0,,7.84,626.08,2073.61,83.17,29.51,16.06,1.81,1.15,,1.649,137.414,-24.77,0.026626305
T5,750,5.887,5.886,0.001,5.89,34.504,34.507,0.002,34.505,0.738,,,2206.1,2300.4,2333.37,2336.57,,3.155,47.252,41.829,0.017,,,,,23.82,1985.01,0.03,,7.84,613.55,2096.89,78.25,30.95,16.55,1.62,1.03,,2.132,177.685,-26.35,0
